depth	min	max	median	mean
145.41547277937	11237	12346	11913	11874
146.418338108883	11579	12376	12010	12016
147.421203438395	11874	12438	12131	12158
148.424068767908	11996	12608	12315	12301
149.426934097421	12050	12878	12448	12443
150.429799426934	12165	13042	12559	12573
151.432664756447	12358	13056	12678	12686
152.43553008596	12549	13072	12794	12799
153.438395415473	12722	13098	12910	12912
154.441260744986	12880	13144	13030	13025
155.444126074499	12971	13204	13102	13097
156.446991404011	13035	13214	13119	13120
157.449856733524	13089	13226	13135	13142
158.452722063037	13105	13245	13162	13165
159.45558739255	13112	13281	13185	13187
160.458452722063	13125	13313	13201	13204
161.461318051576	13135	13318	13212	13215
162.464183381089	13142	13327	13223	13226
163.467048710602	13148	13340	13235	13237
164.469914040115	13155	13353	13247	13248
165.472779369628	13165	13367	13258	13259
166.47564469914	13178	13374	13269	13270
167.478510028653	13188	13383	13280	13281
168.481375358166	13195	13394	13292	13292
169.484240687679	13203	13411	13303	13302
170.487106017192	13212	13423	13312	13313
171.489971346705	13225	13429	13323	13324
172.492836676218	13234	13437	13334	13334
173.495702005731	13243	13447	13344	13345
174.498567335244	13249	13462	13356	13355
175.501432664756	13261	13474	13367	13367
176.504297994269	13278	13484	13380	13379
177.507163323782	13293	13497	13392	13392
178.510028653295	13302	13517	13405	13405
179.512893982808	13310	13539	13417	13417
180.515759312321	13320	13561	13430	13432
181.518624641834	13335	13581	13445	13447
182.521489971347	13346	13608	13460	13463
183.52435530086	13354	13642	13476	13479
184.527220630372	13361	13680	13489	13495
185.530085959885	13382	13708	13508	13514
186.532951289398	13406	13725	13535	13536
187.535816618911	13423	13745	13561	13559
188.538681948424	13432	13785	13580	13581
189.541547277937	13440	13827	13596	13603
190.54441260745	13476	13860	13629	13637
191.547277936963	13510	13886	13673	13679
192.550143266476	13537	13923	13718	13721
193.553008595989	13556	13964	13763	13763
194.555873925501	13577	14019	13808	13806
195.558739255014	13643	14056	13852	13854
196.561604584527	13744	14081	13899	13906
197.56446991404	13811	14121	13949	13959
198.567335243553	13839	14208	14009	14012
199.570200573066	13855	14327	14059	14065
200.573065902579	13887	14399	14102	14110
201.575931232092	13916	14434	14145	14151
202.578796561605	13936	14476	14189	14191
203.581661891117	13952	14524	14229	14231
204.58452722063	13967	14597	14269	14271
205.587392550143	14004	14646	14311	14310
206.590257879656	14046	14664	14351	14349
207.593123209169	14082	14689	14393	14387
208.595988538682	14109	14731	14433	14425
209.598853868195	14130	14785	14472	14464
210.601719197708	14166	14818	14512	14502
211.604584527221	14214	14838	14551	14539
212.607449856734	14252	14863	14591	14577
213.610315186246	14282	14898	14633	14614
214.613180515759	14303	14944	14670	14652
215.616045845272	14341	14970	14706	14688
216.618911174785	14381	14987	14741	14722
217.621776504298	14418	15008	14775	14756
218.624641833811	14451	15031	14811	14791
219.627507163324	14473	15064	14848	14825
