AvgDepth,Age,Ti_pct
125.2,9753.4,3.25
125.7,9770.8,2.9
126.2,9788.1,3.38
126.7,9805,2.9
127.2,9821.8,3.21
127.7,9838.5,2.94
128.2,9855.1,3.08
128.7,9871.5,2.82
129.2,9887.9,3.1
129.7,9904.5,2.91
130.2,9923.2,2.69
130.7,9945.1,2.58
131.2,9967.1,3.28
131.7,9989.2,3.45
132.2,10011,3.37
132.7,10033,3.12
133.2,10055,2.54
133.7,10077,1.95
134.2,10100,2.17
134.7,10122,2.26
135.2,10162,2.06
135.7,10228,2.47
136.2,10294,2.12
136.7,10361,2.15
137.2,10428,1.8
137.7,10494,2.19
138.2,10561,3.36
138.7,10627,3.4
139.2,10693,2.97
139.7,10758,2.42
140.2,10824,2.23
140.7,10890,3.07
141.2,10956,2.85
141.7,11022,2.38
142.2,11088,3.19
142.7,11155,2.93
143.2,11221,2.85
143.7,11287,2.9
144.2,11353,3.34
144.7,11418,3.31
145.2,11497,3.28
145.7,11597,3.52
146.2,11697,3.78
146.7,11797,4.02
147.2,11897,3.69
147.7,11997,4.1
148.2,12096,4.78
148.7,12195,4.19
149.2,12295,4.33
149.7,12394,4.95
150.2,12482,3.89
150.7,12552,4.56
151.2,12623,4.41
151.7,12693,3.85
152.2,12764,4.12
152.7,12834,3.43
153.2,12905,4.1
153.7,12976,4.68
154.2,13046,4.85
154.7,13117,5.28
155.2,13163,5.25
155.7,13172,5.06
156.2,13181,4.97
156.7,13190,5.19
157.2,13199,5.25
157.7,13209,5.09
158.2,13218,6.58
158.7,13227,7.37
159.2,13237,6.66
159.7,13246,6.83
160.2,13253,6.43
160.7,13258,6.81
161.2,13263,7.73
161.7,13269,7.99
162.2,13274,7.85
162.7,13279,6.93
163.2,13284,6.59
163.7,13290,6.87
164.2,13295,6.38
164.7,13300,4.96
165.2,13306,5.66
165.7,13311,6.29
166.2,13316,5.47
166.7,13321,6.46
167.2,13326,7.43
167.7,13332,6.98
168.2,13337,5.66
168.7,13342,5.56
169.2,13347,5.68
169.7,13352,5.2
170.2,13357,4.04
170.7,13363,3.98
171.2,13368,5.59
171.7,13374,5.86
172.2,13379,5.33
172.7,13384,4.92
173.2,13390,4.85
173.7,13395,4.88
174.2,13401,5.71
174.7,13406,5.23
175.2,13412,6.02
175.7,13418,5.77
176.2,13423,5.23
176.7,13429,7.07
177.2,13435,6.51
177.7,13441,7.18
178.2,13447,6.24
178.7,13453,7.26
179.2,13459,6.85
179.7,13465,6.88
180.2,13472,6.86
180.7,13480,5.89
181.2,13487,5.7
181.7,13495,6.41
182.2,13503,7.04
182.7,13510,6.39
183.2,13518,5.72
183.7,13525,6.87
184.2,13533,6.33
184.7,13540,6.41
185.2,13548,6.28
185.7,13558,6.2
186.2,13567,6.56
186.7,13577,3.64
187.2,13586,4.26
187.7,13596,6.71
188.2,13605,6.85
188.7,13615,7.2
189.2,13624,8.08
189.7,13634,8.9
190.2,13648,8.17
190.7,13670,5.53
191.2,13692,6.47
191.7,13714,7.23
192.2,13737,6.31
192.7,13759,5.35
193.2,13781,7.26
193.7,13803,6.85
194.2,13825,5.58
194.7,13847,7.22
195.2,13869,4.16
195.7,13893,4.04
196.2,13916,3.24
206,14352,2.68
206.5,14374,2.89
207,14395,3.23
207.5,14416,2.38
208,14437,2.63
208.5,14458,2.64
209,14478,2
209.5,14499,1.72
210,14519,2.54
210.5,14539,4.97
211,14558,2.92
211.5,14578,2.03
212,14598,2.19
212.5,14618,1.99
213,14638,2.05
213.5,14658,1.81
214,14678,1.12
214.5,14698,1.5
215,14718,1.77
215.5,14735,1.01
216,14752,1.47
216.5,14770,2.34
217,14787,2.47
219.5,14873,4.37
220,14891,2.23
220.5,14910,1.72
221,14928,1.69
221.5,14947,1.72
222,14966,1.8
222.5,14984,2.28
223,15003,1.91
223.5,15022,1.8
224,15040,1.69
224.5,15059,1.84
225,15078,2.07
225.5,15108,1.9
226,15138,1.63
226.5,15168,1.84
227,15197,2.08
227.5,15226,2.24
228,15255,2.21
228.5,15284,2
229,15312,0.89
229.5,15341,2.29
230,15370,2.77
230.5,15408,2.45
231,15447,2.38
231.5,15486,2.78
232,15525,2.63
232.5,15564,2.55
233,15602,2.78
233.5,15641,2.65
234,15680,2.62
234.5,15718,1.63
235,15756,1.79
235.5,15905,2.21
236,16054,2.04
236.5,16204,2.72
237,16353,2.06
237.5,16502,1.97
238,16652,1.96
238.5,16802,2.17
239,16951,2.14
239.5,17099,1.65
240,17247,1.49
240.5,17279,1.4
241,17312,1.41
241.5,17344,1.34
242,17377,1.44
242.5,17409,1.41
243,17442,1.21
243.5,17474,1.99
244,17506,3.29
244.5,17539,3.02
245,17571,2.83
245.5,17603,2.8
246,17634,2.47
246.5,17666,2.23
247,17698,2.31
247.5,17729,2.35
248,17761,2.06
248.5,17793,1.29
249,17825,2
249.5,17857,2.15
250,17889,2.68
250.5,17918,2.35
251,17947,2.14
251.5,17977,2.21
252,18006,2.7
252.5,18036,2.75
253,18066,1.93
253.5,18095,2.25
254,18125,2.19
254.5,18154,2.04
255,18184,2
255.5,18213,1.54
256,18243,1.94
256.5,18274,1.85
257,18305,1.8
257.5,18335,2.37
258,18366,2.48
258.5,18397,2.5
259,18428,2.75
259.5,18459,2.82
260,18489,1.22
260.5,18507,1.2
261,18524,3.06
261.5,18542,2.4
262,18559,2.95
262.5,18577,3.64
263,18594,3.46
263.5,18612,3.2
264,18629,3.43
264.5,18646,1.67
265,18663,2.08
265.5,18679,1.4
268,18756,3.45
268.5,18772,2.44
269,18787,2.3
269.5,18802,2.46
270,18817,3.18
270.5,18832,2.72
271,18848,2.88
271.5,18863,2.84
272,18878,2.51
272.5,18893,2.75
273,18908,2.69
273.5,18923,2.69
274,18938,2.87
274.5,18953,2.75
275,18968,3.45
275.5,18984,1.65
276,18999,1.65
276.5,19015,2.7
277,19030,2.62
277.5,19045,3.81
278,19061,3.85
278.5,19076,3.14
279,19091,3.97
279.5,19106,2.29
280,19122,3.35
280.5,19136,2.12
281,19150,2.47
281.5,19165,3.21
282,19179,2.41
282.5,19193,2.32
283,19207,2.53
283.5,19221,2.74
284,19236,3
284.5,19250,2.7
285,19264,3.36
285.5,19279,0.81
286,19294,1.12
286.5,19309,1.1
287,19324,1.16
287.5,19340,1.35
288,19355,1.5
288.5,19370,2.13
289,19385,2.26
289.5,19401,2.26
290,19416,2.51
290.5,19431,2.6
291,19446,2.26
291.5,19462,2.08
292,19477,2.5
292.5,19493,2.94
293,19508,2.99
293.5,19524,2.91
294,19539,2.85
294.5,19555,3.11
295,19571,3.46
295.5,19586,3.7
296,19600,3.3
296.5,19615,2.78
297,19630,2.52
297.5,19645,2.54
298,19660,2.51
298.5,19675,2.62
299,19691,2.95
299.5,19706,2.77
300,19721,2.36
300.5,19733,2.37
301,19745,1.76
301.5,19756,1.09
302,19768,1.62
302.5,19779,2.22
303,19790,3.2
303.5,19802,3.76
304,19814,3.07
304.5,19825,3.06
305,19837,2.54
305.5,19844,3.51
