Specimen_Number,Genus,Species,Institution,SIDE,SVL_A,SVL_P,TL,Life Stage,Sex,Hum_L,Hum_DW,Fem_L
1431,Ambystoma,maculatum,UTEP,NA,73,80,NA,NA,Male,8.347,2.692,8.597
1672,Ambystoma,tigrinum,UTEP,NA,72,80,123,NA,NA,9.101,3.583,8.34
1726,Ambystoma,texanum,UTEP,NA,73,81,145,NA,NA,6.457,2.14,6.494
1745,Ambystoma,jeffersonianum,UTEP,NA,75,81,150,NA,Female,8.629,2.69,7.963
640,Ambystoma,jeffersonianum,UTEP,L,73,82,160,NA,Male,9.705,NA,9.321
640,Ambystoma,jeffersonianum,UTEP,R,73,82,160,NA,Male,9.191,1.596,9.669
644,Ambystoma,maculatum,UTEP,R,73,82,153,NA,Male,8.299,NA,7.818
644,Ambystoma,maculatum,UTEP,L,73,82,153,NA,Male,7.875,NA,7.767
1426,Ambystoma,maculatum,UTEP,NA,72,82,135,NA,Male,9.313,2.791,9.671
1617,Ambystoma,gracile,UTEP,NA,72,82,159,NA,Male,9.935,2.994,8.98
1671,Ambystoma,tigrinum,UTEP,NA,76,82,138,NA,Male,9.157,3.063,8.2
1693,Ambystoma,mavortium,UTEP,NA,75,82,133,NA,?,9.135,2.896,7.651
1711,Ambystoma,texanum,UTEP,NA,76,82,135,NA,Male,7.487,2.125,7.379
1725,Ambystoma,texanum,UTEP,NA,74,82,145,NA,Female,6.754,1.92,6.676
1743,Ambystoma,jeffersonianum,UTEP,NA,74,82,150,NA,Male,9.013,2.621,8.832
1744,Ambystoma,jeffersonianum,UTEP,NA,73,82,160,NA,Male,8.733,2.413,8.612
1616,Ambystoma,gracile,UTEP,NA,75,83,150,NA,Female,9.396,2.704,8.825
1737,Ambystoma,texanum,UTEP,NA,78,83,135,NA,Male,6.793,2.296,7.018
1741,Ambystoma,jeffersonianum,UTEP,NA,76,83,161,NA,Male,9.102,2.624,8.598
1742,Ambystoma,jeffersonianum,UTEP,NA,77,83,160,NA,Female,7.895,2.367,7.578
642,Ambystoma,jeffersonianum,UTEP,R,76,84,160,NA,Male,9.418,NA,9.545
642,Ambystoma,jeffersonianum,UTEP,L,76,84,160,NA,Male,9.377,NA,8.618
1423,Ambystoma,maculatum,UTEP,NA,75,84,152,NA,Male,8.917,2.813,8.442
1424,Ambystoma,maculatum,UTEP,NA,76,84,158,NA,Male,8.609,2.495,8.676
1710,Ambystoma,texanum,UTEP,NA,77,84,137,NA,Male,6.96,2.35,6.75
1740,Ambystoma,jeffersonianum,UTEP,NA,75,84,165,NA,Male,10.003,2.724,10.062
1669,Ambystoma,tigrinum,UTEP,NA,78,85,138,NA,Male,8.952,3.34,8.502
1709,Ambystoma,texanum,UTEP,NA,79,86,145,NA,Male,7.601,2.228,6.975
1709,Ambystoma,texanum,UTEP,R,79,86,145,NA,Male,7.666,2.192,NA
1709,Ambystoma,texanum,UTEP,L,79,86,145,NA,Male,7.801,2.245,NA
643,Ambystoma,maculatum,UTEP,L,79,87,155,NA,Male,9.243,NA,8.913
643,Ambystoma,maculatum,UTEP,R,79,87,155,NA,Male,8.696,NA,8.935
1422,Ambystoma,maculatum,UTEP,NA,77,87,155,NA,Male,8.162,2.521,8.274
1761,Ambystoma,jeffersonianum,UTEP,NA,80,88,175,NA,Male,10.47,3.712,10.268
1564,Ambystoma,ordinaria,UTEP,NA,80,90,150,NA,NA,10.424,2.943,9.441
1413,Ambystoma,maculatum,UTEP,NA,83,91,182,NA,Male,7.843,2.588,8.324
1738,Ambystoma,jeffersonianum,UTEP,NA,84,91,155,NA,Female,9.29,2.607,8.672
1472,Ambystoma,maculatum,UTEP,NA,82,92,176,NA,NA,NA,NA,8.849
1589,Ambystoma,annulatum,UTEP,NA,83,92,170,NA,Male,6.734,2.21,6.512
1468,Ambystoma,maculatum,UTEP,NA,85,93,172,NA,Male,9.005,3.007,9.074
1588,Ambystoma,annulatum,UTEP,NA,84,93,172,NA,Male,7.361,2.225,7.135
1708,Ambystoma,mavortium,UTEP,NA,83,93,156,NA,Female,10.039,3.251,8.575
1464,Ambystoma,maculatum,UTEP,NA,87,95,173,NA,NA,NA,NA,9.867
1587,Ambystoma,annulatum,UTEP,NA,83,95,180,NA,Male,7.223,2.056,6.831
1461,Ambystoma,maculatum,UTEP,NA,85,96,185,NA,NA,NA,NA,9.488
1458,Ambystoma,maculatum,UTEP,NA,87,97,182,NA,Male,8.738,2.674,8.541
1586,Ambystoma,annulatum,UTEP,NA,87,98,180,NA,Male,7.412,2.323,6.992
1591,Ambystoma,annulatum,UTEP,NA,86,98,190,NA,Male,7.383,2.025,7.145
1585,Ambystoma,annulatum,UTEP,NA,94,101,195,NA,Female,6.753,2.028,6.829
1668,Ambystoma,tigrinum,UTEP,NA,90,102,185,NA,Male,11.809,4.24,10.138
1590,Ambystoma,annulatum,UTEP,NA,95,103,153,NA,Female,7.85,2.337,7.347
1622,Ambystoma,tigrinum,UTEP,NA,95,107,203,NA,Male,11.597,4.025,11.712
1550,Ambystoma,subsalsum,UTEP,NA,107,118,197,NA,Female,12.831,3.183,12.604
1699,Ambystoma,mavortium,UTEP,NA,NA,120,210,NA,NA,11.853,4.145,11.299
1698,Ambystoma,mavortium,UTEP,NA,113,128,212,NA,NA,13.657,4.714,12.416
1407,Ambystoma,maculatum,UTEP,R,87,94,177,NA,Female,9.033,3.172,NA
1407,Ambystoma,maculatum,UTEP,L,87,94,177,NA,Female,8.991,3.182,NA
1411,Ambystoma,maculatum,UTEP,L,83,91,125,NA,Female,8.819,2.992,NA
1411,Ambystoma,maculatum,UTEP,R,83,91,125,NA,Female,9.116,2.982,NA
1413,Ambystoma,maculatum,UTEP,L,83,91,182,NA,Male,8.071,2.596,NA
1413,Ambystoma,maculatum,UTEP,R,83,91,182,NA,Male,8.216,2.772,NA
1415,Ambystoma,maculatum,UTEP,R,80,90,160,NA,Male,9.729,3.013,NA
1415,Ambystoma,maculatum,UTEP,L,80,90,160,NA,Male,9.764,2.957,NA
1422,Ambystoma,maculatum,UTEP,R,77,87,155,NA,Male,8.84,2.659,NA
1422,Ambystoma,maculatum,UTEP,L,77,87,155,NA,Male,8.382,2.628,NA
1423,Ambystoma,maculatum,UTEP,R,75,84,152,NA,Male,8.719,2.954,NA
1423,Ambystoma,maculatum,UTEP,L,75,84,152,NA,Male,8.835,2.879,NA
1424,Ambystoma,maculatum,UTEP,R,76,84,158,NA,Male,9.094,2.6,NA
1424,Ambystoma,maculatum,UTEP,L,76,84,158,NA,Male,8.775,2.59,NA
1426,Ambystoma,maculatum,UTEP,L,72,82,135,NA,Male,9.176,2.751,NA
1426,Ambystoma,maculatum,UTEP,R,72,82,135,NA,Male,9.268,2.799,NA
